index,song_name,artist_name,publish_date,plays,comments,likes,reposts,artist_followers,run_date
0,WOTR,RONNYJ,2018-08-17 17:52:05.000000,58664,64,"2,407",278,94942,2018-10-27 19:42:28.399419
1,CHOKER,RONNYJ,2018-07-05 19:12:41.000000,94702,41,"2,802",273,94942,2018-10-27 19:42:28.399419
2,Loui'd Down (Feat SkiMaskTheSlumpGod),RONNYJ,2018-07-05 19:12:31.000000,174271,36,"5,336",431,94942,2018-10-27 19:42:28.399419
3,OHSHI,RONNYJ,2018-02-23 00:00:00.000000,118649,35,"2,595",204,94942,2018-10-27 19:42:28.399419
4,Costa Rica (feat. Ski Mask The Slump God),RONNYJ,2018-02-23 00:00:00.000000,1362246,189,29.2K,"1,630",94942,2018-10-27 19:42:28.399419
5,Fiji Island (feat. Fat Nick),RONNYJ,2018-02-23 00:00:00.000000,224186,37,"5,722",552,94942,2018-10-27 19:42:28.399419
6,One Time (feat. Smokepurpp),RONNYJ,2018-02-23 00:00:00.000000,381071,55,10.1K,745,94942,2018-10-27 19:42:28.399419
7,824,RONNYJ,2018-02-23 00:00:00.000000,146262,31,"2,922",238,94942,2018-10-27 19:42:28.399419
8,Trauma (feat. Nell and Danny Towers),RONNYJ,2018-02-23 00:00:00.000000,142239,30,"4,097",408,94942,2018-10-27 19:42:28.399419
9,Houston (feat. Denzel Curry),RONNYJ,2018-02-23 00:00:00.000000,334569,45,"9,530",893,94942,2018-10-27 19:42:28.399419
10,Snakes (feat. Wifisfuneral),RONNYJ,2018-02-23 00:00:00.000000,318541,37,"9,033",739,94942,2018-10-27 19:42:28.399419
11,Glacier (feat. Denzel Curry),RONNYJ,2018-02-23 00:00:00.000000,237646,51,"7,041",713,94942,2018-10-27 19:42:28.399419
12,Banded Up (feat. XXXTENTACION),RONNYJ,2018-02-16 00:00:00.000000,2849272,264,48.7K,"2,547",94942,2018-10-27 19:42:28.399419
